acidalies	f	p	0
acide	m	s	1
acides	m	p	1
acidifiant	m	s	1
acidifiants	m	p	1
acidification	f	s	0
acidifications	f	p	0
acidimètre	m	s	0
acidimètres	m	p	0
acidimétrie	f	s	0
acidimétries	f	p	0
acidité	f	s	0
acidités	f	p	0
acidocétose	f	s	0
acidocétoses	f	p	0
acidose	f	s	0
acidoses	f	p	0
acidulation	f	s	0
acidulations	f	p	0
acier	m	s	0
aciers	m	p	0
acinésie	f	s	0
acinésies	f	p	0
aciérage	m	s	0
aciérages	m	p	0
aciération	f	s	0
aciérations	f	p	0
aciérie	f	s	0
aciéries	f	p	0
acmite	f	s	0
acmites	f	p	0
acmé	m	s	0
acméisme	m	s	0
acméismes	m	p	0
acmés	m	p	0
acné	f	s	0
acnés	f	p	0
acolytat	m	s	0
acolytats	m	p	0
acompte	m	s	0
acomptes	m	p	0
acon	m	s	0
aconage	m	s	0
aconages	m	p	0
aconier	m	s	0
aconiers	m	p	0
aconit	m	s	0
aconitine	f	s	0
aconitines	f	p	0
aconits	m	p	0
acons	m	p	0
acoquinage	m	s	0
acoquinages	m	p	0
acoquinement	m	s	0
acoquinements	m	p	0
acore	m	s	0
acores	m	p	0
acotylédone	f	s	1
acotylédones	f	p	1
acoumètre	m	s	0
acoumètres	m	p	0
acoumétrie	f	s	0
acoumétries	f	p	0
acouphène	m	s	0
acouphènes	m	p	0
acousticien	m	s	0
acousticienne	f	s	0
acousticiennes	f	p	0
acousticiens	m	p	0
acoustique	f	s	1
acoustiques	f	p	1
acquiescement	m	s	0
acquiescements	m	p	0
acquiescence	f	s	0
acquiescences	f	p	0
acquisition	f	s	0
acquisitions	f	p	0
acquit	m	s	0
acquitement	m	s	0
acquitements	m	p	0
acquits	m	p	0
acquittement	m	s	0
acquittements	m	p	0
acquitté	m	s	1
acquittée	f	s	1
acquittées	f	p	1
acquittés	m	p	1
acquéreur	m	s	0
acquéreurs	m	p	0
acquêt	m	s	0
acquêts	m	p	0
acridien	m	s	1
acridiens	m	p	1
acrimonie	f	s	0
acrimonies	f	p	0
acrobatie	f	s	0
acrobaties	f	p	0
acrocyanose	f	s	0
acrocyanoses	f	p	0
acrocéphalie	f	s	0
acrocéphalies	f	p	0
acrodynie	f	s	0
acrodynies	f	p	0
acroléine	f	s	0
acroléines	f	p	0
